X1	deg_anno	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	sig
ENSMUSG00000004347	Pde1c	74.4837947109376	-7.09555157937679	1.65510633332109	-4.28706690109695	1.81047780432045e-5	0.00251696205521517	down
ENSMUSG00000097194	NA	52.4449160622945	7.0144792869304204	1.65254663496641	4.24464831340326	2.18936521573672e-5	0.00301061514611797	up
ENSMUSG00000085645	Hoxb5os	38.0100396595995	-7.01468432176309	1.65452434484156	-4.23969846296509	2.23820236589585e-5	0.00304467721838155	down
ENSMUSG00000021929	Kpna3	179.54421147683	1.74278036079526	0.412474344058764	4.22518487730953	2.38744694951013e-5	0.00321314801683539	up
ENSMUSG00000057103	Nat8f1	29.4362350606496	5.92032941082063	1.40203985050453	4.22265416256905	2.41442145880989e-5	0.00321524693425305	up
ENSMUSG00000050592	Fam78a	18.7181528519989	7.61647960673566	1.81698357036367	4.19182634943211	2.76717771836868e-5	0.00360902735207033	up
ENSMUSG00000066363	Serpina3f	50.7786577301774	6.46232665660707	1.54157935321383	4.19201687096718	2.76485429729887e-5	0.00360902735207033	up
ENSMUSG00000004637	Wwox	184.14411440147	-2.82589967432904	0.675014689116414	-4.18642693246884	2.83380100633952e-5	0.00362125419507084	down
ENSMUSG00000097493	NA	19.255859185888	5.01046842203042	1.19633684698095	4.18817529082611	2.8120628693186698e-05	0.00362125419507084	up
ENSMUSG00000038170	Pde4dip	40.6231336380991	5.01454368141805	1.2005809150892	4.1767644466058	2.95684942661536e-5	0.0037407102096111	up
ENSMUSG00000029650	Slc46a3	31.1529256373594	6.82080255242865	1.6373544804722	4.16574580139884	3.10336346852e-5	0.00388719319210362	up
ENSMUSG00000033669	Zfp7	99.6426067713581	-4.90386011473091	1.18270495623198	-4.14630892420904	3.37877891543869e-5	0.00419067961364851	down
ENSMUSG00000093861	Igkv1-110	144.596200876324	-9.69716117520227	2.34324825079516	-4.13834136946934	3.49825612997896e-5	0.00429674158255959	down
ENSMUSG00000031937	Vstm5	24.9137408266238	-8.43371649091161	2.04584698008138	-4.12235938123591	3.75011534588525e-5	0.00456179896546099	down
ENSMUSG00000003810	Mast2	45.2056328753031	6.17224594580125	1.49965817149305	4.11576855521428	3.85891386348505e-5	0.00456253451279901	up
ENSMUSG00000022299	Slc25a32	14.0373202918089	6.46526367106818	1.57053242140114	4.1166063068600796	3.84492024354731e-5	0.00456253451279901	up
ENSMUSG00000064147	Rab44	56.5325409755054	7.66067478431185	1.86114860087144	4.11610055248943	3.85336248072743e-5	0.00456253451279901	up
ENSMUSG00000032812	Arap1	380.053150685648	-1.40048981147176	0.340758962282154	-4.1099133595557	3.95807596403998e-5	0.00463644620565461	down
ENSMUSG00000022941	Ripply3	57.7989303646307	-7.38962339214422	1.80139097112682	-4.10217632406684	4.09282177886562e-5	0.00475030168114027	down
ENSMUSG00000025352	Gdf11	31.0333239480229	6.43724415097126	1.57112901965313	4.09720912187879	4.18161114510177e-5	0.00480923296333477	up
ENSMUSG00000034037	Fgd5	219.339187239408	-3.5116790638136	0.859723466129135	-4.0846611755577404	4.41411787257638e-5	0.00491646518351485	down
ENSMUSG00000071715	Ncf4	50.6097670555838	6.1852537665625	1.51457868253599	4.08381145059166	4.43029824457112e-5	0.00491646518351485	up
ENSMUSG00000022438	Parvb	20.2082035254434	7.72485320744495	1.88951838728883	4.08826569744523	4.34610207201668e-5	0.00491646518351485	up
ENSMUSG00000036208	Nepro	21.5888069152257	7.09298317091248	1.73631224053263	4.08508504710919	4.406067525162e-5	0.00491646518351485	up
ENSMUSG00000007379	Dennd2c	85.3623982995513	-9.4878192232924	2.32791553924277	-4.07567158831657	4.58817348900304e-5	0.00504738980951108	down
ENSMUSG00000068349	Gml	14.579800528457	-7.66227417062309	1.88263641354382	-4.06997023721635	4.70191441832543e-5	0.00511833603827894	down
ENSMUSG00000024679	Ms4a6d	48.4246941816949	-7.91641176997717	1.94582629545433	-4.06840620278942	4.73358087486077e-5	0.00511833603827894	down
ENSMUSG00000026580	Selp	59.9051146551739	-7.93891279736826	1.95748434310688	-4.0556711604486	4.99905494193738e-5	0.00529561240496519	down
ENSMUSG00000048038	Ccdc187	50.265639789669	-8.72287338699451	2.15108207153406	-4.05510952019313	5.01108183415146e-5	0.00529561240496519	down
ENSMUSG00000039759	Thap3	242.385054054329	-2.60620519002973	0.642785446790708	-4.05454915484157	5.02310875500611e-5	0.00529561240496519	down
ENSMUSG00000106767	NA	21.6189395029844	7.08468476506335	1.74844441152315	4.05199314223067	5.07831539749139e-5	0.00530956761104658	up
ENSMUSG00000026389	Steap3	127.41783330205	4.72923683830578	1.16825162489722	4.04813204408925	5.16280190199069e-5	0.00535365630017084	up
ENSMUSG00000030231	Plekha5	216.095657769097	-3.64408305578023	0.903511714116028	-4.0332438405024	5.50121432402364e-5	0.005658200196197	down
ENSMUSG00000031722	Hp	71.5190766416	6.3002192709652	1.56416849926943	4.02783924743902	5.62918091952921e-5	0.00574312643652936	up
ENSMUSG00000039963	Ccdc40	53.6339866661201	6.41957856375481	1.59613591994781	4.02194981237231	5.77183578288088e-5	0.00584155955913808	up
ENSMUSG00000056214	Pard6g	74.6612709280771	-10.01710173112	2.49670917566521	-4.01212196789045	6.01753939647253e-5	0.00604189610355349	down
ENSMUSG00000066721	Zfp575	23.6060716645691	-7.62352632606933	1.90797598972704	-3.9956091518531	6.45281176707729e-5	0.0064279150917555	down
ENSMUSG00000111189	NA	46.7679587873013	-6.62568760075182	1.65977828054633	-3.9919112561052	6.55429019955992e-5	0.00647799416520567	down
ENSMUSG00000026072	Il1r1	29.2748176356854	-6.56544573936773	1.64834524072579	-3.98305256517552	6.80356996998214e-5	0.00662092028386492	down
ENSMUSG00000046658	Zfp316	37.0610157778734	4.59405279809789	1.15311896273409	3.98402328516496	6.77582289940613e-5	0.00662092028386492	up
ENSMUSG00000056602	Fry	106.593058478465	-2.8785934981217	0.724960654292992	-3.97068927958443	7.16649944842674e-5	0.00681679582872531	down
ENSMUSG00000098120	Gm5914	27.8732406603373	-2.57239617899879	0.647766183615621	-3.97118010180851	7.15174861159023e-5	0.00681679582872531	down
ENSMUSG00000025795	Rassf3	12.4634703414723	4.95487124545708	1.24778089395251	3.97094655758181	7.15876380545962e-5	0.00681679582872531	up
ENSMUSG00000073063	Hbq1b	20.2499372670706	7.72976555128913	1.94765250152058	3.96876010749058	7.22475679894838e-5	0.00682092524354448	up
ENSMUSG00000029484	Anxa3	43.1558022329455	6.65705752271524	1.68310108635144	3.95523333488314	7.64599902572113e-5	0.0071124657113528	up
ENSMUSG00000036737	Oxsr1	93.2575465861178	3.77281940185127	0.953734185400799	3.95583954062187	7.62663408535083e-5	0.0071124657113528	up
ENSMUSG00000031438	Rnf128	46.7239303610632	6.82321351150032	1.72646891760357	3.95212067934088	7.74616567729647e-5	0.00715304686010785	up
ENSMUSG00000037275	Gemin5	123.788838733051	3.61365767045641	0.915210984895784	3.94844219540033	7.86614042968468e-5	0.00721119873738702	up
ENSMUSG00000074158	Zfp976	10.8175203578364	6.82952184864487	1.73317539576325	3.94046780570487	8.132286469459e-5	0.00734915738826725	up
ENSMUSG00000031785	Adgrg1	3175.53887109354	-1.35764742467862	0.344541011705345	-3.94045230772032	8.13281190702249e-5	0.00734915738826725	down
ENSMUSG00000037872	Ackr1	29.2608865087909	8.25958438546522	2.09993599020533	3.93325531063335	8.38031431563492e-5	0.00750969840153031	up
ENSMUSG00000000134	Tfe3	51.4924323795536	4.85522602468905	1.23484273507152	3.93185778787277	8.42919273588889e-5	0.00750969840153031	up
ENSMUSG00000059327	Eda	24.3128672092473	7.25541261497506	1.84770110913003	3.92672417585505	8.61106337608125e-5	0.00761808131264363	up
ENSMUSG00000054252	Fgfr3	54.1460921776953	-8.82939778793362	2.25200346169713	-3.92068570857334	8.8297360484068e-5	0.00770379246540651	down
ENSMUSG00000054150	Syne3	40.2258217278228	6.17290312539257	1.57433257009585	3.92096513954274	8.81950222596565e-5	0.00770379246540651	up
ENSMUSG00000028713	Cyp4b1	103.460557838015	-5.96823828291203	1.52727282026182	-3.90777482826473	9.31500567628087e-5	0.00807151621990612	down
ENSMUSG00000038195	Rilp	57.5372768987205	-7.2267438297076	1.85021425436764	-3.90589566189325	9.38770147938904e-5	0.00807917084460889	down
ENSMUSG00000044562	Rasip1	39.6074708558311	-9.10238649096179	2.336004330217	-3.89656233647317	9.7567703415431e-5	0.00834006091830147	down
ENSMUSG00000020323	Prss57	79.9566438340563	8.33063131860971	2.13992552974142	3.89295384480803	9.90309990637517e-5	0.00840832999433237	up
ENSMUSG00000056310	Tyw1	346.082220579515	-1.23149532758251	0.316836615497972	-3.88684661855437	1.01554877254632e-4	0.00856513834765568	down
ENSMUSG00000032515	Csrnp1	20.5588084935489	7.74816630992297	1.99902366833418	3.87597527365929	1.06198468960252e-4	0.00889746245573608	up
ENSMUSG00000040415	Dtx3	410.611048932945	-1.38765123388059	0.358718043930204	-3.86836195547103	1.09568938079887e-4	0.00911945155032008	down
ENSMUSG00000037363	Letm2	56.6399941352978	2.93037285436533	0.757928780185844	3.86629051564291	1.10503295955211e-4	0.00913710586359066	up
ENSMUSG00000069300	H2bc11	19.2234782561995	6.12527906067362	1.58657176131936	3.86070092132484	1.13062225909402e-4	0.00928798844142758	up
ENSMUSG00000019467	Arhgef25	45.9713737684862	-8.59259784387685	2.22927405980705	-3.85443763904945	1.15995944060111e-4	0.00946751411809328	down
ENSMUSG00000067567	Hdac8	29.8636463237689	5.45795387691177	1.41743318734052	3.85058987305943	1.17833679477939e-4	0.00949499286035293	up
ENSMUSG00000041658	Rragb	12.2482781057605	5.57396757837181	1.44727981237608	3.85134065348477	1.17472956332371e-4	0.00949499286035293	up
ENSMUSG00000049532	Sall2	26.8826678105525	6.74391058763368	1.75402377847475	3.84482278427149	1.20639591062049e-4	0.00961917182741594	up
ENSMUSG00000073430	Gm10505	37.6837236794629	7.89435474220445	2.05352031017655	3.84430322070968	1.20895448625337e-4	0.00961917182741594	up
ENSMUSG00000052485	Tmem171	27.5593150151796	-8.57961692213761	2.23606127987471	-3.83693282440735	1.24580531918786e-4	0.0098504269331535	down
ENSMUSG00000040177	2310057M21Rik	30.3361985728836	5.16239027974998	1.34737106568196	3.83145401533251	1.2738818582895e-4	0.00991481835436543	up
ENSMUSG00000082292	NA	142.637545412092	4.52565840850537	1.18139842867102	3.83076386312479	1.27746058948823e-4	0.00991481835436543	up
ENSMUSG00000116249	NA	32.982786573278	-7.10446954957275	1.85441950120775	-3.83110161694576	1.27570801075387e-4	0.00991481835436543	down
ENSMUSG00000026249	Serpine2	86.0689852878452	-8.22598818408942	2.15188054661911	-3.82269740623547	1.31999726568312e-4	0.0101824911025348	down
ENSMUSG00000039176	Polg	75.7107546872991	3.53463946893103	0.925679521556609	3.81842677364974	1.34305437087187e-4	0.0102975641490303	up
ENSMUSG00000096883	Shisa8	38.5358677501539	-5.47352694443757	1.43435557658228	-3.81601817136561	1.35622520977365e-4	0.0103359067041244	down
ENSMUSG00000032690	Oas2	32.1542976592342	6.21628208884867	1.63094530590525	3.81145956663358	1.38148655229401e-4	0.0104653810617195	up
ENSMUSG00000029386	Tctn2	42.8911102743989	-8.49429230780187	2.23199027235821	-3.80570310408531	1.41401922560968e-4	0.0106480697757072	down
ENSMUSG00000039145	Camk1d	20.6761967661225	4.21273275149727	1.10831656644074	3.80101938296031	1.44102027844956e-4	0.0107871878950682	up
ENSMUSG00000046916	Myct1	443.474929189953	-1.11630647940534	0.294000075461137	-3.79695983973617	1.46481509274337e-4	0.0109008092578214	down
